  MONTH     DAY     YEAR     HOUR     TEMP     HUMID    SOLAR    WIND
       1        1       90        0       43   0.0031        2     4.88
       1        1       90      100     41.8   0.0031      2.1     4.86
       1        1       90      200     41.5    0.003      2.2     4.61
       1        1       90      300     41.4   0.0029      2.2     4.88
       1        1       90      400       41   0.0029      2.1     4.34
       1        1       90      500     40.5   0.0029      2.1      5.4
       1        1       90      600     39.4    0.003      2.3     5.38
       1        1       90      700     38.2   0.0033      2.3     6.01
       1        1       90      800     38.8   0.0031      8.7     5.06
       1        1       90      900     39.2   0.0032     51.9     3.22
       1        1       90     1000     40.4   0.0032    122.2     1.45
       1        1       90     1100     43.2    0.003    211.2     0.57
       1        1       90     1200     45.9   0.0025    228.3      2.1
       1        1       90     1300     47.4   0.0022      229     5.02
       1        1       90     1400     47.9   0.0022    221.7      3.2
       1        1       90     1500     48.6   0.0022    238.6     3.15
       1        1       90     1600     48.9   0.0019      107     3.41
       1        1       90     1700     48.8   0.0019     43.8     3.91
       1        1       90     1800     47.6   0.0021      6.2     6.17
       1        1       90     1900     46.7   0.0022      1.6     3.79
       1        1       90     2000     46.1   0.0023      1.7     4.42
       1        1       90     2100     44.6   0.0029      1.8     4.03
       1        1       90     2200     43.5   0.0033      2.1     4.73
       1        1       90     2300     43.2   0.0036      2.1     4.71
       1        2       90        0     43.5   0.0038      2.1        5
       1        2       90      100     43.4   0.0041        2     3.73
       1        2       90      200     43.3   0.0047        2     4.27
       1        2       90      300     42.8   0.0049      2.1     3.22
       1        2       90      400     42.3    0.005      2.2     3.98
       1        2       90      500     42.7   0.0048      2.1     3.94
       1        2       90      600     42.8   0.0047      2.1     4.41
       1        2       90      700     43.7   0.0044      2.1     5.06
       1        2       90      800       44   0.0043      3.7     4.46
       1        2       90      900     44.6   0.0041       25     4.99
       1        2       90     1000       46   0.0042     60.9     5.67
       1        2       90     1100       48   0.0043     97.5     5.72
       1        2       90     1200     49.4   0.0042    139.2     6.59
       1        2       90     1300     49.4   0.0038      137     6.25
       1        2       90     1400     50.3   0.0034      180     5.79
       1        2       90     1500     51.1   0.0034     81.4     5.89
       1        2       90     1600     50.9   0.0035     53.6     5.57
       1        2       90     1700     50.7   0.0038     32.1     5.74
       1        2       90     1800     50.8    0.004      4.7     4.55
       1        2       90     1900     50.6   0.0043      1.4     4.05
       1        2       90     2000     50.2   0.0047      1.4     5.16
       1        2       90     2100     49.6   0.0051      1.6     4.57
       1        2       90     2200     50.3   0.0056      1.4     3.46
       1        2       90     2300     49.8   0.0058      1.5     5.16
       1        3       90        0     51.3   0.0069      1.4      6.2
       1        3       90      100     52.1   0.0078      1.4     8.21
       1        3       90      200       53 0.005263      1.4     7.95
       1        3       90      300       54 0.005418      1.2     8.35
       1        3       90      400     54.5 0.005849      1.1     9.25
       1        3       90      500     54.9 0.005756      1.1    11.38
       1        3       90      600     55.6 0.006045      1.1     9.66
       1        3       90      700     56.5 0.007006        1     8.16
       1        3       90      800     56.9 0.006201      1.6     7.27
       1        3       90      900     56.5 0.006363     13.6     7.23
       1        3       90     1000     56.5 0.005682     45.3     8.47
       1        3       90     1100     57.2 0.006357     57.2     7.43
       1        3       90     1200     58.4 0.005847     79.9     3.93
       1        3       90     1300     60.2 0.006612     74.6     6.38
       1        3       90     1400     61.6 0.006666     73.1     6.71
       1        3       90     1500     62.8 0.007174     62.4     5.19
       1        3       90     1600     64.3 0.007258     59.2     3.94
       1        3       90     1700     66.5 0.007464     53.8     4.97
       1        3       90     1800     67.7 0.008981      9.7     8.53
       1        3       90     1900     67.3 0.009054        0      9.1
       1        3       90     2000       67 0.008448      0.1     7.37
       1        3       90     2100     66.7  0.00735        0     5.26
       1        3       90     2200     66.8 0.006566      0.1     4.57
       1        3       90     2300     66.7 0.006294        0     4.31
       1        4       90        0     62.8   0.0108      0.3     7.32
       1        4       90      100     60.7   0.0088      0.6     1.63
       1        4       90      200     59.5   0.0093      0.6     3.83
       1        4       90      300     59.9   0.0059      0.6     5.98
       1        4       90      400       59   0.0044      0.7     3.69
       1        4       90      500     58.3   0.0038      0.9      5.8
       1        4       90      600     57.3   0.0031      0.9     7.02
       1        4       90      700     55.6   0.0031        1     7.08
       1        4       90      800     53.4   0.0031      9.7    11.82
       1        4       90      900     51.2   0.0036       56     8.64
       1        4       90     1000     49.9   0.0035    209.3    12.66
       1        4       90     1100     49.8   0.0036    299.1     11.4
       1        4       90     1200       49   0.0037    261.5     9.76
       1        4       90     1300     49.4   0.0036    365.9     8.81
       1        4       90     1400     50.1   0.0034    266.9     8.34
       1        4       90     1500       52   0.0035    344.5     8.27
       1        4       90     1600     51.4   0.0035      178     8.57
       1        4       90     1700     49.5   0.0035     61.1     7.83
       1        4       90     1800     48.5   0.0037      8.4     7.27
       1        4       90     1900     47.9   0.0039      1.5     6.27
       1        4       90     2000     47.9   0.0038      1.5     6.99
       1        4       90     2100     47.6   0.0038      1.5     7.25
       1        4       90     2200     47.3   0.0039      1.5     5.73
       1        4       90     2300       47    0.004      1.5      5.1
       1        5       90        0     46.8   0.0041      1.6     4.97
       1        5       90      100     46.4    0.004      1.6      5.8
       1        5       90      200     46.3    0.004      1.6     5.88
       1        5       90      300     46.2    0.004      1.6     6.39
       1        5       90      400     46.1    0.004      1.6     6.48
       1        5       90      500     46.3    0.004      1.6     5.78
       1        5       90      600     46.2   0.0041      1.7     4.89
       1        5       90      700     46.1   0.0043      1.6     4.74
       1        5       90      800     46.2   0.0045      2.9     4.06
       1        5       90      900     44.7   0.0051     36.3     3.61
       1        5       90     1000     45.6   0.0055       45      4.1
       1        5       90     1100       44   0.0057     62.1     9.93
       1        5       90     1200     45.2    0.006     74.8     8.82
       1        5       90     1300     45.6   0.0057     64.8     7.44
       1        5       90     1400     45.6   0.0062     55.8     3.29
       1        5       90     1500     45.4 0.003426     33.1     2.92
       1        5       90     1600     45.3  0.00366     25.5     4.95
       1        5       90     1700     45.3 0.003399     16.7     4.44
       1        5       90     1800     45.3 0.003568      3.9     5.84
       1        5       90     1900     44.9 0.003202      1.6     4.67
       1        5       90     2000     45.1 0.003311      1.6     5.13
       1        5       90     2100     45.3 0.002985      1.6     3.53
       1        5       90     2200     45.4 0.002887      1.6     5.03
       1        5       90     2300     45.2 0.002645      1.6        5
       1        6       90        0     44.7 0.003555      1.5     6.05
       1        6       90      100     44.6  0.00378      1.6     5.08
       1        6       90      200     44.4 0.003766      1.6     4.64
       1        6       90      300     44.2 0.003985      1.7     5.49
       1        6       90      400     43.9 0.003983      1.7     5.09
       1        6       90      500     43.8 0.004132      1.7     5.58
       1        6       90      600     43.6 0.004059      1.7     6.33
       1        6       90      700     43.8 0.004179      1.7     5.16
       1        6       90      800     43.7 0.004073      2.8     4.53
       1        6       90      900     43.8 0.004026     15.3     4.22
       1        6       90     1000     43.9 0.003945     52.1     4.46
       1        6       90     1100     44.1 0.003708     84.6     5.38
       1        6       90     1200     44.7 0.003866     70.9     5.31
       1        6       90     1300     44.9 0.003767     80.4     5.03
       1        6       90     1400     44.9  0.00363     58.7     4.83
       1        6       90     1500     44.9 0.003628     75.8     6.04
       1        6       90     1600     45.1 0.003453     66.8     7.12
       1        6       90     1700     44.9 0.003342     20.6     6.64
       1        6       90     1800       44 0.003244      4.5      7.1
       1        6       90     1900     43.7 0.003134      1.7     5.97
       1        6       90     2000     43.5 0.002982      1.7     5.86
       1        6       90     2100     43.2 0.002721      1.7     5.54
       1        6       90     2200       43 0.002539      1.7     5.34
       1        6       90     2300       43 0.002639      1.7     6.45
       1        7       90        0     43.2 0.003287      1.7     4.71
       1        7       90      100     42.9 0.003386      1.7     4.52
       1        7       90      200       43 0.003186      1.7     2.12
       1        7       90      300     43.2 0.003391      1.7     3.67
       1        7       90      400     42.9 0.003649      1.7      3.5
       1        7       90      500     42.7 0.003786      1.7     4.87
       1        7       90      600     42.8 0.003653      1.7     4.63
